commentId,text,reviewId,commenterId,timePosted,updatedAt
1,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,19,29,2017-04-29 03:09:26,2021-12-15 23:08:45
2,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,24,32,2021-10-07 09:01:31,2022-06-18 22:47:26
3,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,8,6,2023-11-06 08:52:10,2022-06-08 10:43:27
4,Aliquam erat volutpat. In congue.,38,6,2016-12-14 14:06:28,2021-07-03 21:18:38
5,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",4,7,2016-11-04 05:32:24,2022-08-05 06:08:17
6,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,32,20,2019-12-13 03:22:31,2021-03-09 21:48:28
7,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,22,24,2017-12-28 17:16:59,2021-03-16 05:00:35
8,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",4,1,2016-01-16 18:57:28,2022-05-22 14:06:21
9,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",17,9,2015-09-21 16:32:56,2022-08-02 14:19:15
10,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,32,18,2018-12-22 21:58:56,2022-05-30 00:43:47
11,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",37,12,2015-05-23 15:22:46,2021-05-25 16:51:03
12,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",21,37,2021-06-22 04:41:00,2022-04-07 23:50:40
13,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,13,27,2023-07-02 07:33:35,2022-03-28 20:45:41
14,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",5,30,2021-08-22 06:25:03,2022-05-23 19:23:07
15,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",11,33,2018-08-30 04:35:41,2022-10-27 08:47:33
16,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",19,10,2022-01-30 09:17:12,2022-07-16 21:10:16
17,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",36,30,2022-05-28 12:02:57,2021-02-04 15:31:53
18,Nunc purus.,34,18,2020-10-12 22:35:46,2021-04-03 23:03:03
19,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",14,14,2014-12-31 19:53:31,2021-03-04 00:44:57
20,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",4,34,2022-04-24 21:36:24,2021-08-13 14:57:15
21,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,6,35,2020-01-26 13:43:24,2021-11-04 05:03:02
22,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",15,6,2020-09-02 13:34:14,2022-10-19 05:55:25
23,Suspendisse potenti. In eleifend quam a odio.,10,39,2022-07-28 17:11:10,2021-02-26 20:22:39
